Time,X_Position,Y_Position,Grip_Force,Vertical_Error,Grip_Force_Error
0,-0.109475,0.01447317,8.21626,0,0
0.011933085,-0.108746,0.01476207,8.28046,0,0
0.023974185,-0.108025,0.01503657,8.34146,0,0
0.036020685,-0.107281,0.01527579,8.39462,0,0
0.048266085,-0.106544,0.015503085,8.44513,0,0
0.060038485,-0.105808,0.015718995,8.49311,0,0
0.072173485,-0.105102,0.01596267,8.54726,0,0
0.084105085,-0.104365,0.01619415,8.5987,0,0
0.096032985,-0.103658,0.0164097,8.6466,0,0
0.108004985,-0.102923,0.016614495,8.69211,0,0
0.119971985,-0.102223,0.01680903,8.73534,0,0
0.131944985,-0.101499,0.016974495,8.77211,0,0
0.143912985,-0.100812,0.017131725,8.80705,0,0
0.155950985,-0.100101,0.017265555,8.83679,0,0
0.168018985,-0.099424,0.017392725,8.86505,0,0
0.179919985,-0.098723125,0.01751355,8.8919,0,0
0.191991985,-0.09805575,0.01759392,8.90976,0,0
0.203968985,-0.097366625,0.01767024,8.92672,0,0
0.216175985,-0.09668475,0.01774278,8.94284,0,0
0.227973985,-0.096010625,0.017780625,8.95125,0,0
0.240003985,-0.095372875,0.017816535,8.95923,0,0
0.252056985,-0.094716625,0.01785069,8.96682,0,0
0.263992985,-0.09409075,0.01784259,8.96502,0,0
0.275995985,-0.09344025,0.017834895,8.96331,0,0
0.288175985,-0.09281725,0.017815545,8.95901,0,0
0.299996985,-0.09217125,0.01779714,8.95492,0,0
0.311974985,-0.091557,0.01777968,8.95104,0,0
0.323971985,-0.09092525,0.017757585,8.94613,0,0
0.336039985,-0.09030525,0.01773657,8.94146,0,0
0.348185985,-0.089723125,0.0176976,8.9328,0,0
0.359974985,-0.089130625,0.017660565,8.92457,0,0
0.372164985,-0.08857375,0.017625375,8.91675,0,0
0.383972985,-0.088003,0.01759581,8.91018,0,0
0.395991985,-0.08746225,0.01756773,8.90394,0,0
0.407938985,-0.086906125,0.017541045,8.89801,0,0
0.420064985,-0.08638075,0.01753245,8.8961,0,0
0.432202985,-0.08584375,0.01752426,8.89428,0,0
0.443939985,-0.085318875,0.017522595,8.89391,0,0
0.456051985,-0.08482575,0.01752102,8.89356,0,0
0.467937985,-0.084322,0.017519535,8.89323,0,0
0.480055985,-0.0838475,0.01752957,8.89546,0,0
0.491916985,-0.083363875,0.017539065,8.89757,0,0
0.503985985,-0.082908125,0.01754811,8.89958,0,0
0.516169985,-0.08244225,0.01757115,8.9047,0,0
0.527996985,-0.081985625,0.017593065,8.90957,0,0
0.540044985,-0.08155675,0.01768617,8.93026,0,0
0.552002985,-0.081120625,0.01777464,8.94992,0,0
0.563952985,-0.08069675,0.0178587,8.9686,0,0
0.575991985,-0.08030225,0.01800378,9.00084,0,0
0.588229985,-0.07990175,0.01814166,9.03148,0,0
0.600212985,-0.07950975,0.01827261,9.06058,0,0
0.611991985,-0.079140125,0.01844523,9.09894,0,0
0.623970985,-0.07877775,0.018609255,9.13539,0,0
0.635988985,-0.078407375,0.018905355,9.20119,0,0
0.648046985,-0.07804325,0.01918665,9.2637,0,0
0.659869985,-0.077700125,0.019453905,9.32309,0,0
0.672096985,-0.077362625,0.019825425,9.40565,0,0
0.683931985,-0.077004625,0.02017836,9.48408,0,0
0.695894985,-0.07668225,0.020649915,9.58887,0,0
0.708023985,-0.07636775,0.021097845,9.68841,0,0
0.719980985,-0.076045625,0.02152341,9.78298,0,0
0.732132985,-0.075727875,0.02199933,9.88874,0,0
0.743933985,-0.075427625,0.022451445,9.98921,0,0
0.756004985,-0.075118,0.02288115,10.0847,0,0
0.768004985,-0.074825625,0.02346885,10.2153,0,0
0.779883985,-0.074527125,0.0240273,10.3394,0,0
0.791927985,-0.07424675,0.02465055,10.4779,0,0
0.804124985,-0.07396475,0.02524275,10.6095,-0.0003757425,-0.0834983333333333
0.816134985,-0.073692,0.02580525,10.7345,-0.00035902375,-0.0797830555555556
0.828053985,-0.07343825,0.0264294,10.8732,-0.00028318375,-0.0629297222222222
0.839981985,-0.07318275,0.0270225,11.005,-0.00024089125,-0.0535313888888889
0.851941985,-0.072945625,0.02768445,11.1521,-0.0001316325,-0.0292516666666667
0.864006985,-0.072705125,0.02831355,11.2919,-5.715e-05,-0.0127
0.876002985,-0.072469,0.02891115,11.4247,-1.5446875e-05,-0.00343263888888889
0.888129985,-0.072245,0.0297,11.6,0,0
0.899978985,-0.072013125,0.03044925,11.7665,0,0
0.911955985,-0.07179375,0.0311616,11.9248,0,0
0.924141985,-0.071572125,0.03195315,12.1007,0,0
0.935907985,-0.071356875,0.0327051,12.2678,0,0
0.948143985,-0.071154125,0.0335592,12.4576,0,0
0.959940985,-0.070946875,0.0343701,12.6378,0,0
0.972114985,-0.07075175,0.03514095,12.8091,0,0
0.983944985,-0.070548125,0.0359469,12.9882,0,0
0.995917985,-0.070351,0.03671235,13.1583,0,0
1.007984985,-0.070144625,0.03744,13.32,0,0
1.020074985,-0.06994475,0.0382779,13.5062,0,0
1.032134985,-0.0697345,0.0390744,13.6832,0,0
1.043964985,-0.069522625,0.03998835,13.8863,0,0
1.056014985,-0.069317,0.04085685,14.0793,0,0
1.067974985,-0.069100125,0.04168215,14.2627,0,0
1.079954985,-0.068886875,0.0429669,14.5482,0,0
1.091884985,-0.068658,0.04418775,14.8195,0,0
1.104024985,-0.068428875,0.04534785,15.0773,0,0
1.116224985,-0.068177875,0.0468432,15.4096,0,0
1.127964985,-0.06791425,0.04826385,15.7253,0,0
1.139964985,-0.06765175,0.04969215,16.0427,0,0
1.151964985,-0.0673695,0.0510489,16.3442,0,0
1.164094985,-0.067090875,0.0523377,16.6306,0,0
1.176054985,-0.066792875,0.05367375,16.9275,0,0
1.188204985,-0.066487375,0.0549423,17.2094,0,0
1.199964985,-0.066172125,0.0563841,17.5298,0,0
1.211974985,-0.0658585,0.0577539,17.8342,0,0
1.223964985,-0.0655325,0.0590553,18.1234,0,0
1.236054985,-0.065179875,0.06051285,18.4473,0,0
1.248034985,-0.06481375,0.06189795,18.7551,0,0
1.260074985,-0.064449625,0.0632628,19.0584,0,0
1.272074985,-0.064060375,0.06455925,19.3465,0,0
1.284054985,-0.06367875,0.06579045,19.6201,0,0
1.295984985,-0.06327375,0.06667695,19.8171,0,0
1.308054985,-0.062877125,0.0675189,20.0042,0,0
1.319944985,-0.06245475,0.06798555,20.1079,0,0
1.332124985,-0.06203625,0.06842835,20.2063,0,0
1.343894985,-0.06158475,0.06884955,20.2999,0,0
1.355974985,-0.061137375,0.06913755,20.3639,0,0
1.367984985,-0.06066225,0.0694107,20.4246,0,0
1.379914985,-0.0601805,0.0695376,20.4528,0,0
1.391944985,-0.059715625,0.06965865,20.4797,0,0
1.403864985,-0.059231875,0.06977295,20.5051,0,0
1.416124985,-0.058769375,0.069714,20.492,0,0
1.428014985,-0.05828875,0.0696582,20.4796,0,0
1.439954985,-0.05780575,0.0696051,20.4678,0,0
1.452024985,-0.057339375,0.06927795,20.3951,0,0
1.463974985,-0.05685025,0.06896745,20.3261,0,0
1.476024985,-0.0563805,0.06861645,20.2481,0,0
1.488144985,-0.055893375,0.06828255,20.1739,0,0
1.499944985,-0.055412375,0.06796575,20.1035,0,0
1.511934985,-0.0549595,0.0672534,19.9452,0,0
